"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1905394163547603122","Thu Mar 27 22:59:03 +0000 2025","0","ESSENTIALLUX $ELX AIRDROP EVENTS https://t.co/NyQgK8F6K7","1905394163547603122","","","ca","","0","0","0","https://x.com/AsepSoenardi21/status/1905394163547603122","1875110862924689408","AsepSoenardi21"
"1905393932558893121","Thu Mar 27 22:58:08 +0000 2025","0","kok kaya agak mual gt yah kocak","1905393932558893121","","","in","","0","0","0","https://x.com/spuaneng/status/1905393932558893121","1639114013975154688","spuaneng"
"1904530902186651915","Thu Mar 27 22:56:42 +0000 2025","0","@samsungID Tim #Asep pastinya jago! Pengen ikutan mabar Free Fire bareng mereka di #GalaxyA06FunMatch. Ponsel #GalaxyA06 5G emang #PastiMakinAman buat nge-game! #MatchwithGalaxyA06 5G","1905393569776763058","","samsungID","in","Bogor Selatan, Indonesia","0","0","0","https://x.com/pillosapiiy/status/1905393569776763058","1539240776278118400","pillosapiiy"
"1904530902186651915","Thu Mar 27 22:53:35 +0000 2025","0","@samsungID gw paling suka kalo nonton live streaming dari tim #Asep memanggil pro player pengguna samsung #GalaxyA06 5G #GalaxyA06FunMatch #PastiMakinAman #MatchwithGalaxyA06 5G","1905392787501334696","","samsungID","in","Indonesia","0","0","0","https://x.com/RazaGioo/status/1905392787501334696","1884590844289945600","RazaGioo"
"1905392429135462608","Thu Mar 27 22:52:10 +0000 2025","0","Aduuh kukira bukbernya cuma yg cewe2 aja udh menyanggupi pulak tu kukira cuma bertiga aja tp kok trs bawa pasukan (ini gapapa soalnya cewe semua) TERUS FORWARDED KE GRUP GEDE ak gmw bukber dipenuhi asep rokok dan vape ","1905392429135462608","","","in","highway 1009","0","1","0","https://x.com/luluudisinii/status/1905392429135462608","1272254572241678337","luluudisinii"
"1904530902186651915","Thu Mar 27 22:50:42 +0000 2025","0","@samsungID Aku mau join tim #Asep main Free Fire Ikutan Bareng #GalaxyA06 5G #GalaxyA06FunMatch 3 VS 3 Clash Squad Live di Tiktok Samsung Indonesia pake Galaxy A06 5G #PastiMakinAman #MatchwithGalaxyA06 5G","1905392062348066899","","samsungID","in","Indonesia","0","0","0","https://x.com/TarunaDegi/status/1905392062348066899","1796514652995948544","TarunaDegi"
"1905214490326577450","Thu Mar 27 22:48:45 +0000 2025","0","@Kenstudy17 @basebuku Udah ku folback yah kak","1905391569966170324","","Kenstudy17","in","","0","0","0","https://x.com/userbalmondxp/status/1905391569966170324","1743694445080690688","userbalmondxp"
"1905331828803723280","Thu Mar 27 22:47:59 +0000 2025","0","@Armish__live Saya juga suka apalagi langsung dari sumber nya","1905391378789794252","","Armish__live","in","","0","0","0","https://x.com/Aska2107oye/status/1905391378789794252","1837787449327788032","Aska2107oye"
"1904530902186651915","Thu Mar 27 22:47:54 +0000 2025","0","@samsungID yg cewek yuk merapat ikutan live streaming bareng #Asep samsung semakin okeee #GalaxyA06 5G #GalaxyA06FunMatch #PastiMakinAman #MatchwithGalaxyA06 5G","1905391354416693514","","samsungID","in","Denpasar Selatan, Indonesia","0","0","0","https://x.com/karineresya/status/1905391354416693514","1886366277083750400","karineresya"
"1905324379871084930","Thu Mar 27 22:47:22 +0000 2025","0","@Farzanafardaous Waalaikumsalam","1905391222652575874","","Farzanafardaous","in","","0","0","0","https://x.com/Aska2107oye/status/1905391222652575874","1837787449327788032","Aska2107oye"
"1904917043880833250","Thu Mar 27 22:47:10 +0000 2025","0","@victorgg97 ","1905391173176623188","","victorgg97","qme","","0","0","0","https://x.com/Aska2107oye/status/1905391173176623188","1837787449327788032","Aska2107oye"
"1905296438709690535","Thu Mar 27 22:46:42 +0000 2025","0","@mawarmanisku Waalaikumsalam","1905391055316611141","","mawarmanisku","in","","0","0","0","https://x.com/Aska2107oye/status/1905391055316611141","1837787449327788032","Aska2107oye"
"1905390990120419758","Thu Mar 27 22:46:27 +0000 2025","1","tai ledig..","1905390990120419758","","","cy","","0","0","0","https://x.com/AsepDblues/status/1905390990120419758","1505703105199230977","AsepDblues"
"1904530902186651915","Thu Mar 27 22:46:26 +0000 2025","0","@samsungID Aku mau join tim #Asep main Free Fire #GalaxyA06FunMatch 3 VS 3 Clash Squad Live di Tiktok Samsung Indonesia pake Galaxy A06 5G #PastiMakinAman #MatchwithGalaxyA06 5G","1905390985707983205","","samsungID","in","indonesia","0","0","0","https://x.com/N4ND4ZZ/status/1905390985707983205","1831222528720982016","N4ND4ZZ"
"1905241047187194266","Thu Mar 27 22:45:46 +0000 2025","0","@BuildOnHybrid Ok","1905390821316456902","","BuildOnHybrid","und","","0","0","0","https://x.com/asepdaniasr/status/1905390821316456902","1798969438857027584","asepdaniasr"
"1905390773190942833","Thu Mar 27 22:45:35 +0000 2025","0","GUA vs STRAIGHT motion 1D2D wallah lailahaillah","1905390773190942833","","","in","","0","0","0","https://x.com/spuaneng/status/1905390773190942833","1639114013975154688","spuaneng"
"1905390631297712252","Thu Mar 27 22:45:01 +0000 2025","0","woi elah","1905390631297712252","","","in","","0","0","0","https://x.com/spuaneng/status/1905390631297712252","1639114013975154688","spuaneng"
"1904953683659338116","Thu Mar 27 22:44:05 +0000 2025","0","@BuildOnHybrid @killeragent_ Ok","1905390394646667494","","BuildOnHybrid","und","","0","0","0","https://x.com/asepdaniasr/status/1905390394646667494","1798969438857027584","asepdaniasr"
"1904530902186651915","Thu Mar 27 22:43:03 +0000 2025","0","@samsungID Siapa jadi pemenang! Aku mau join tim #Asep main Free Fire #GalaxyA06 5G #GalaxyA06FunMatch 3 VS 3 Clash Squad Live di Tiktok Samsung Indonesia pake Galaxy A06 5G. Goo semangat #PastiMakinAman #MatchwithGalaxyA06 5G","1905390137745539326","","samsungID","in","Indonesia","0","0","0","https://x.com/Fariza461954183/status/1905390137745539326","1792942141863583744","Fariza461954183"
"1904530902186651915","Thu Mar 27 22:39:44 +0000 2025","0","@samsungID Aku mau join tim #Asep main Free Fire #GalaxyA06 5G #GalaxyA06FunMatch 3 VS 3 Clash Squad Live di Tiktok Samsung Indonesia pake Galaxy A06 5G ikut jangan sampai ketinggalan #PastiMakinAman #MatchwithGalaxyA06 5G","1905389301783036361","","samsungID","in","Indonesia","0","0","0","https://x.com/AlfaArizka/status/1905389301783036361","1793975496390377473","AlfaArizka"
"1904530902186651915","Thu Mar 27 22:38:37 +0000 2025","0","@samsungID Aku mau join tim #Asep main Free Fire #GalaxyA06 5G #GalaxyA06FunMatch 3 VS 3 Clash Squad Live di Tiktok Samsung Indonesia pake Galaxy A06 5G pasti seru banget #PastiMakinAman #MatchwithGalaxyA06 5G","1905389021272170551","","samsungID","in","Indonesia","0","0","0","https://x.com/ukiunian/status/1905389021272170551","1796532867834798080","ukiunian"
"1905039488696615367","Thu Mar 27 22:38:05 +0000 2025","0","@ProfOnline_id Terus gue harus bilang wow gitu kerja bro kerja penganguran ampunnn","1905388885070545147","","ProfOnline_id","in","Macau","0","0","0","https://x.com/asep26gungun/status/1905388885070545147","2168687936","asep26gungun"
