"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1905394286318756155","Thu Mar 27 22:59:33 +0000 2025","0","hai! Aku mahasiswa akhir smt 6 saat ini sedang studi awal penelitian &amp; membutuhkan 40 responden. Yuk bantu isi kue aku kue Pernah mengalami/korban KBGO atau kekerasan online secara verbal atau non verbal Terima kasih atas partisipasinya. Stay healthy! Trigger euy https://t.co/dUvtRtqmxI","1905394286318756155","https://pbs.twimg.com/media/GnFSATrWoAAPhBG.jpg","","in","Bandung, Jawa Barat","0","0","0","https://x.com/BaseBDG/status/1905394286318756155","1248335621988311041","BaseBDG"
"1905379435857281175","Thu Mar 27 22:59:19 +0000 2025","0","@Sherlynovi25 Mogok Harusnya jam 4 sampe surabaya ini jam 6 pagi aku masih di bandung. Ganti armada sih tapi snack/air minum nggak ditambah gimana bertahan sampe siang nanti Tapi kalau nggak ada drama mogok sebenernya nyaman","1905394230325117057","","Sherlynovi25","in","","0","0","0","https://x.com/mmswp/status/1905394230325117057","462011792","mmswp"
"1905394168891097249","Thu Mar 27 22:59:05 +0000 2025","0","KALO TURUN EGA BISA LEBARAN DI BANDUNG TAUN INI KOCAKKKK","1905394168891097249","","","in","","0","0","0","https://x.com/AeongTeeny/status/1905394168891097249","604422084","AeongTeeny"
"1905393994873688094","Thu Mar 27 22:58:23 +0000 2025","0","Hukum Brigjen TNI NA Terduga Penembak Kucing2 di Sesko TNI Martanegara Bandung - Tandatangani Petisi! https://t.co/gxvlNADSid lewat @ChangeOrg_ID","1905393994873688094","","","in","Noesantara Raja","0","0","0","https://x.com/antoncianfoski/status/1905393994873688094","1383637997132730374","antoncianfoski"
"1905280192584806405","Thu Mar 27 22:56:25 +0000 2025","0","@segmua ih jauh banget di bandung pengen beli padahal. Enak banget diliatnya","1905393499559870820","","segmua","in","","0","0","0","https://x.com/tharracuties/status/1905393499559870820","1292148307678990336","tharracuties"
"1905391334606930060","Thu Mar 27 22:56:11 +0000 2025","0","@mo0dgirlz ini mah bandung banyak","1905393442697732195","","mo0dgirlz","in","Vrindavan","0","1","0","https://x.com/balaramm_/status/1905393442697732195","2435176159","balaramm_"
"1905181806925906004","Thu Mar 27 22:53:41 +0000 2025","0","@sawamoora_ei Oalahh... itu bolak balik tangsel-bandung karena kerjaan kah?","1905392810116964392","","sawamoora_ei","in","","0","1","0","https://x.com/shervan28/status/1905392810116964392","1549223978153422849","shervan28"
"1905392757235220540","Thu Mar 27 22:53:28 +0000 2025","0","gw udh secape itu tiap hari tidur jam 6 pagi","1905392757235220540","","","in","Bandung, Indonesia","0","0","0","https://x.com/saleeeeey/status/1905392757235220540","1241621696043315201","saleeeeey"
"1905392703308693896","Thu Mar 27 22:53:15 +0000 2025","0","5:53am: sunrise sunset will be at 5:56pm today's forecast: thunderstorm with light hail 28/23°C UV index 9 tomorrow: overcast 30/22°C","1905392703308693896","","","en","Bandung, Indonesia","0","0","0","https://x.com/BandungID/status/1905392703308693896","146317801","BandungID"
"1905181806925906004","Thu Mar 27 22:52:38 +0000 2025","0","@shervan28 Skrg lagi di bandung ","1905392548891554057","","shervan28","in","🏳️🏳️ any|18↑| proyapper","0","1","0","https://x.com/sawamoora_ei/status/1905392548891554057","1811432667998814208","sawamoora_ei"
