"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1905398549933949142","Thu Mar 27 23:27:19 +0000 2025","1","@2Kimuti_Nabe122 よし、キレ散らかそ","1905401276575424792","","2Kimuti_Nabe122","ja","ベットの下","0","1","0","https://x.com/konoha1700/status/1905401276575424792","1792908577105231872","konoha1700"
"1905401222364102813","Thu Mar 27 23:27:06 +0000 2025","0","おはよ アホなので寝る前にステータスの更新を忘れてオレンジで寝てた","1905401222364102813","","","ja","VRCの中","0","0","0","https://x.com/konoha_v_r_c/status/1905401222364102813","1885762824456257536","konoha_v_r_c"
"1905401176075497501","Thu Mar 27 23:26:55 +0000 2025","0","Sabían que un día como hoy pero de 2003 salía Naruto: Konoha Ninpocho para Wonderswan en Japón El primer videojuego de Naruto un RPG donde los personajes aprenden habilidades con los scrolls de la serie https://t.co/izBK9zyiPX","1905401176075497501","https://pbs.twimg.com/ext_tw_video_thumb/1904885016573992960/pu/img/c2f1N-m8A6wfKyfM.jpg","","es","","0","0","0","https://x.com/PoscastBeta/status/1905401176075497501","337808773","PoscastBeta"
"1905363950793072912","Thu Mar 27 23:26:03 +0000 2025","0","@luizfelipeor @gabrielplay21 konohamaru sempre demonstrou ter uma grande reserva de chakra só ver ele criança fazendo um rasengan do tamanho que o naruto um das maiores reservas de chakra de konoha tinha N só isso ele tbm conseguiu fundir fuuton nele em boruto.","1905400958495932927","","luizfelipeor","pt","","0","0","0","https://x.com/Eualyson22/status/1905400958495932927","1654679539832717313","Eualyson22"
"1904922372651835409","Thu Mar 27 23:25:49 +0000 2025","0","@Maudy_Apain @Aadec @sosmedkeras belajar ngitung sama fufufafa","1905400899218145367","","Maudy_Apain","in","Kebayoran Lama, Indonesia","0","0","0","https://x.com/Ryu53944310/status/1905400899218145367","1135182840511885313","Ryu53944310"
"1905320026502300060","Thu Mar 27 23:24:49 +0000 2025","0","@konoha_ou はーい!!⸜(◍´˘`◍)⸝","1905400648017023441","","konoha_ou","ja","","0","0","0","https://x.com/13_l11y/status/1905400648017023441","1886224382185652224","13_l11y"
"1905400315140092186","Thu Mar 27 23:23:30 +0000 2025","0","Lets go #habs wow The shot","1905400315140092186","","","en","Montréal, Québec","0","0","0","https://x.com/ch4konoha/status/1905400315140092186","1784291203598397441","ch4konoha"
"1905224131869827510","Thu Mar 27 23:22:58 +0000 2025","2","@kumaa2525 リプとフォローありがとうございます 突然変異で産まれることもあるし考えても仕方ないけど、ふとした時に思いますよね。 でも我が子が可愛いことには変わりないしお仲間がいると思うと支えになります。","1905400181514010780","","kumaa2525","ja","","0","0","0","https://x.com/konoha_15_/status/1905400181514010780","1749759434115739648","konoha_15_"
"1905400000278057231","Thu Mar 27 23:22:15 +0000 2025","0","わーーーーい https://t.co/XOuzNjHfJp","1905400000278057231","https://pbs.twimg.com/media/GnFXM0nbgAIkZAb.jpg","","ja","水辺","0","0","0","https://x.com/Sub17konoha/status/1905400000278057231","1351417504606818305","Sub17konoha"
"1905398549933949142","Thu Mar 27 23:21:46 +0000 2025","1","@2Kimuti_Nabe122 英語はクソだよな 英語を勉強しろって言うことなのかな だったら俺はキレるねｗ","1905399878869725539","","2Kimuti_Nabe122","ja","ベットの下","0","1","0","https://x.com/konoha1700/status/1905399878869725539","1792908577105231872","konoha1700"
"1905399717259063702","Thu Mar 27 23:21:07 +0000 2025","0","今日はアベルちゃんのお誕生日なのね〜みなさまのアベルちゃん見られるかな？️","1905399717259063702","","","ja","Japan","0","0","0","https://x.com/Konohadollfuku/status/1905399717259063702","1781140253912498176","Konohadollfuku"
"1905398549933949142","Thu Mar 27 23:19:06 +0000 2025","1","@2Kimuti_Nabe122 あなたが知っているフォロワーって意味だと思う！","1905399206183141456","","2Kimuti_Nabe122","ja","ベットの下","0","1","0","https://x.com/konoha1700/status/1905399206183141456","1792908577105231872","konoha1700"
"1905274128417927555","Thu Mar 27 23:18:22 +0000 2025","0","@OposisiCerdas Dari politikus vocal skrg jd ikut paduan suara.. yg penting jabatan..","1905399023181463811","","OposisiCerdas","in","","0","0","0","https://x.com/andri_lan6/status/1905399023181463811","1631644582797787136","andri_lan6"
"1885670037413122301","Thu Mar 27 23:17:39 +0000 2025","0","@Rio_Mond0325 もし良かったらdmとかで話の続きしない？！めっちゃ話し合うから沢山お話したい！！","1905398844315369486","","Rio_Mond0325","ja","👧🏻コンスニ🐥","0","0","0","https://x.com/cbcb_cbrrr/status/1905398844315369486","1160128689918500864","cbcb_cbrrr"
"1905398776493478100","Thu Mar 27 23:17:23 +0000 2025","0","Meanwhile ada wapres negara Konoha malah ngebela AI segitunya.","1905398776493478100","","","in","","0","0","0","https://x.com/anindra21/status/1905398776493478100","1548528243174567936","anindra21"
"1904767773735346678","Thu Mar 27 23:16:35 +0000 2025","0","@democrazymedia Jujur aja sy punya anak gadis 2 org sy sdh wanti² klu bs jangan sampai punya suami seorang polisi sdhlah makan uang haram..kelakuan rata2 bejat..","1905398573422051407","","democrazymedia","in","","0","0","0","https://x.com/andri_lan6/status/1905398573422051407","1631644582797787136","andri_lan6"
"1905398112375762987","Thu Mar 27 23:16:22 +0000 2025","0","@konoha_asuka ＝＝＝ℙ𝕚𝕔𝕜 𝕌𝕡 𝕊𝕒𝕝𝕖＝＝＝＝＝＝ ​​𝕏 で見たで「1 000円OFF」️ ※予約時に「 ​​𝕏 見た！」と お伝えください 秋葉原・上野限定 ＝＝＝＝＝＝＝ℙ𝕚𝕔𝕜 𝕌𝕡 𝕊𝕒𝕝𝕖＝＝","1905398522058604606","","GodAkihabara_1","ja","","0","1","0","https://x.com/GodAkihabara_1/status/1905398522058604606","133803563","GodAkihabara_1"
"1905398112375762987","Thu Mar 27 23:16:13 +0000 2025","0","@konoha_asuka 28歳 リアルマーメイドが仕事の疲れを 海底深く沈めます スーツ姿の弟くん、 今日こそ本物の癒しを 気になった方はリプで応援コメントお待ちしてます ご予約はこちらから","1905398484251095084","","GodAkihabara_1","ja","","0","1","0","https://x.com/GodAkihabara_1/status/1905398484251095084","133803563","GodAkihabara_1"
"1905398438843551834","Thu Mar 27 23:16:03 +0000 2025","1","昨日のしげのんとてづさんとのエペおもろすぎた","1905398438843551834","","","ja","","0","0","0","https://x.com/neko_konoha_/status/1905398438843551834","1191709210607640576","neko_konoha_"
"1905398112375762987","Thu Mar 27 23:15:59 +0000 2025","0","@konoha_asuka ▷「褒められサロン」でメンタル充電 このは 究極マジック３選 ① 美脚アタック× 「お姉さんのヌル肌で脚のむくみスッキリ」 ② 伝説のツボ突き！ 「痛かった腰が謎の回復モード 魔法⁉️」 ③ 耳元ささやきで天国モード 「営業ストレス→5分で霧散️のプロ技」","1905398425967001913","","GodAkihabara_1","ja","","0","1","0","https://x.com/GodAkihabara_1/status/1905398425967001913","133803563","GodAkihabara_1"
"1905398112375762987","Thu Mar 27 23:15:37 +0000 2025","0","@konoha_asuka このは さん緊急告知 「衣装 試着したらサイズがなくて 君のためなら、 ちょっとキツくても我慢するね」 ってえ！以外にムチムチなの ️アキバ男子限定・秘密の3段階ケア️ ▷時間内で頭～足先まで完全オールケア ▷プロ監修の鼠径部リリース️腰痛即解消","1905398332144714228","","GodAkihabara_1","ja","","0","1","0","https://x.com/GodAkihabara_1/status/1905398332144714228","133803563","GodAkihabara_1"
"1905398112375762987","Thu Mar 27 23:15:10 +0000 2025","0","@konoha_asuka いつも【神のエステ秋葉原】を ご利用頂き、ありがとうございます 本日のピックアップガールは スレンダーボディにDカップのギャップ 飛鳥このはさんです 「疲れた弟くんへ 全部お姉さんが受け止めるから 」","1905398217543745570","","GodAkihabara_1","ja","","0","1","0","https://x.com/GodAkihabara_1/status/1905398217543745570","133803563","GodAkihabara_1"
"1905371863641194569","Thu Mar 27 23:15:09 +0000 2025","0","@konoha_happy ","1905398216105099295","","konoha_happy","qme","兵庫 明石市","0","0","0","https://x.com/akashizawrus/status/1905398216105099295","350091536","akashizawrus"
"1905207523885633756","Thu Mar 27 23:14:57 +0000 2025","0","@geloraco Habis Lo .. RK.. ","1905398161994391726","","geloraco","in","","0","0","0","https://x.com/andri_lan6/status/1905398161994391726","1631644582797787136","andri_lan6"
"1905398130562261209","Thu Mar 27 23:14:49 +0000 2025","0","通勤中にdominATE始まってた！！","1905398130562261209","","","ja","","0","0","0","https://x.com/vo_ooc/status/1905398130562261209","1574023594199621634","vo_ooc"
"1905382640515252414","Thu Mar 27 23:14:45 +0000 2025","0","@PEpbnqwqMy2646 二見さんおはよー！ 開幕戦楽しみすぎるー！ 早川勝ってくれ！ 配信で待ってるよ〜！","1905398114909127001","","PEpbnqwqMy2646","ja","森","0","0","0","https://x.com/Konoha_Kyoudou/status/1905398114909127001","1461606117143101441","Konoha_Kyoudou"
"1905398112375762987","Thu Mar 27 23:14:45 +0000 2025","2"," ＼　＼　＼｜｜｜｜／　／ 𝕋𝕠𝕕𝕒𝕪'𝕤 ℙ𝕚𝕔𝕜 𝕌𝕡 𝔾𝕚𝕣𝕝 ／　／　／｜｜｜｜＼　＼ 春のマーメイドおねえさん祭り 飛鳥このは(@konoha_asuka) AGE（28）/T:169（D） https://t.co/IHGCbVQSWo","1905398112375762987","https://pbs.twimg.com/ext_tw_video_thumb/1905398087587430400/pu/img/85szKFzfPJswK9MP.jpg","","ja","","0","1","1","https://x.com/GodAkihabara_1/status/1905398112375762987","133803563","GodAkihabara_1"
"1905362988862742866","Thu Mar 27 23:14:36 +0000 2025","0","@LuminaryCC @tanyarlfes Partai terkuat di Konoha isi nya hampir smua oknum mgkn 90an % deh wkwkkk","1905398074929021136","","LuminaryCC","in","galaxy bimasakti","0","0","0","https://x.com/meylan_peppy/status/1905398074929021136","1616715089318641666","meylan_peppy"
"1905363267981386220","Thu Mar 27 23:14:34 +0000 2025","1","@RIKOU1952136 紅回鬼おはこの〜","1905398069430288458","","RIKOU1952136","ja","MINERs LABEL所属","0","1","0","https://x.com/AkatukiKonoha/status/1905398069430288458","1769140443839905792","AkatukiKonoha"
"1905224131869827510","Thu Mar 27 23:14:21 +0000 2025","0","@konoha_15_ そうですよね で私の職場はそういった知的障害らしき人々を無理にでも矯正させようとこういうことをいまだにし続けていてとてつもなく辛いです https://t.co/gwtKVb9zvN 私が例えるならば重度すぎる「スーパー事なかれ全体主義」から「ゾンビファクトリー」になった作業所です ","1905398011288764838","","konoha_15_","ja","東京都","0","0","0","https://x.com/4f9BFzOD0aiuDPY/status/1905398011288764838","1209862779785465856","4f9BFzOD0aiuDPY"
"1904815031075954762","Thu Mar 27 23:13:24 +0000 2025","1","@Pi_IDPioneer @Mata_Netizen62 @muchlis_ar @Marbot_Udien @King_PWS_ @kenhans03 @JhonSitorus_18 @HumorJonTampan @GM_Warrios @Cintada16 @ch_chotimah2 @barengwarga Labanya bnyk yg dr cina bang seandai selisih 6k ato 8k X 40 jt apa gk ngiler blm nti fee nya pembelian d atas 100pcs dpt brap pcs pokok nya d mana ada untung d situ rebutan proyek tau ndiri kek mana watak warga konoha ","1905397775266935058","","Pi_IDPioneer","in","","0","0","0","https://x.com/D98011Chandra/status/1905397775266935058","1841619390451924992","D98011Chandra"
"1905368652331057509","Thu Mar 27 23:12:56 +0000 2025","0","@sasunarufaggots blow konoha up https://t.co/lgiiTDLmp5","1905397654768538019","https://pbs.twimg.com/media/GnFVEY1XEAAn6CW.jpg","sasunarufaggots","in","24 they/them 🇵🇷","0","1","0","https://x.com/vampnoctis/status/1905397654768538019","1201737855833452544","vampnoctis"
"1905396993385804271","Thu Mar 27 23:12:38 +0000 2025","0","@lemon_kamiesu @__pxq39 @nagi_no_kami @konoha_asuka @God__Mariko @nanasisan_8 @karinana_kami @atena_kamiesu @chifuyu_kamino @akbueno_T ------------------------- 【https://t.co/7b71jav2FY】 【https://t.co/Vp8eYaahPZ】 【080-4445-5572】 ------------------------- #メンズエステ #秋葉原メンズエステ #上野メンズエステ","1905397582840693152","","GodAkihabara_1","und","","0","0","0","https://x.com/GodAkihabara_1/status/1905397582840693152","133803563","GodAkihabara_1"
"1905205857308086657","Thu Mar 27 23:12:36 +0000 2025","0","@kompascom Klu sebelumnya dpt presiden tukang bohong ahli warisnya gede bacot . Alias Nafsu Besar Nonot gk punya..","1905397574221398504","","kompascom","in","","0","0","0","https://x.com/andri_lan6/status/1905397574221398504","1631644582797787136","andri_lan6"
